method,R,T,repeat,seconds
dac,20,100,6,0.00020145800000004321
sequential,20,100,7,4.8959000000015074e-05
dac,20,100,7,0.0001392089999999735
sequential,20,100,8,4.104199999999114e-05
dac,20,100,8,0.0001375000000000126
sequential,20,100,9,3.958299999995418e-05
dac,20,100,9,0.00013695899999999206
sequential,20,100,10,3.9082999999995316e-05
dac,20,100,10,0.00013674999999990778
sequential,20,100,11,3.924999999993517e-05
dac,20,100,11,0.00013691699999995866
sequential,20,100,12,3.933400000000198e-05
dac,20,100,12,0.00013704199999997613
sequential,20,100,13,3.979200000003846e-05
dac,20,100,13,0.00013704199999997613
sequential,20,100,14,3.9499999999970115e-05
dac,20,100,14,0.00013641600000002807
sequential,20,100,15,3.962500000009861e-05
dac,20,100,15,0.00013579100000005173
sequential,20,100,16,3.620799999992652e-05
dac,20,100,16,0.0001263339999999502
sequential,20,100,17,3.662500000001234e-05
dac,20,100,17,0.0001270829999999723
sequential,20,100,18,3.629199999999333e-05
dac,20,100,18,0.0001282910000000026
sequential,20,100,19,3.620799999992652e-05
dac,20,100,19,0.00012916600000001388
sequential,20,100,20,3.6000000000036e-05
dac,20,100,20,0.0001291669999999856
sequential,20,100,21,3.662499999990132e-05
dac,20,100,21,0.00012812500000003446
sequential,20,100,22,3.64170000000108e-05
dac,20,100,22,0.00012720799999998977
sequential,20,100,23,3.658299999997894e-05
dac,20,100,23,0.00012720900000007251
sequential,20,100,24,3.7791000000009234e-05
dac,20,100,24,0.00012899999999993472
sequential,20,100,25,3.5416999999982046e-05
dac,20,100,25,0.0001271250000000057
sequential,20,100,26,4.6667000000000236e-05
dac,20,100,26,0.00012829199999997432
sequential,20,100,27,3.587500000001853e-05
dac,20,100,27,0.00012658300000001343
sequential,20,100,28,3.5707999999967655e-05
dac,20,100,28,0.00012612499999997695
sequential,20,100,29,3.495899999994556e-05
dac,20,100,29,0.00012624999999999442
sequential,20,100,30,3.525000000004219e-05
dac,20,100,30,0.00012612499999997695
sequential,20,100,31,3.5291999999964574e-05
dac,20,100,31,0.00012620799999996102
sequential,20,100,32,3.479100000003399e-05
dac,20,100,32,0.0001258329999999086
sequential,20,100,33,3.5082999999991316e-05
dac,20,100,33,0.00012575000000003556
sequential,20,100,34,3.5082999999991316e-05
dac,20,100,34,0.00012624999999999442
sequential,20,100,35,3.500000000000725e-05
dac,20,100,35,0.00012612500000008797
sequential,20,100,36,3.537499999994864e-05
dac,20,100,36,0.00012583300000001962
sequential,20,100,37,3.500000000000725e-05
dac,20,100,37,0.00012629200000002783
sequential,20,100,38,3.454199999997076e-05
